CODI_BASE,DSL,la,dc,sre,srd,dire,dird,dife,difd,dure,durd
1128,3060,7.52121,74.1266,4691.7,4920.05,3667.52,3577.91,1222.8,1193.58,9.8138,9.76485
1131,1120,1.38984,28.971,5069.2,5096.52,3697.34,3976.68,1210.62,1202.39,9.7252,8.96757
1134,1123,0.252892,3.94522,5053.95,5206.4,3797.04,3989.95,1268.46,1272.71,10.1959,10.427
1137,1123,0.238584,2.11851,4990.68,4978.96,3716.92,3769.21,1247.46,1257.62,9.85048,9.83995
1138,1123,0.199776,11.3572,4937,4909.12,3585.96,3420.62,1203.39,1185.81,9.60472,9.62405
114,NULL,0.496122,8.48947,3832.63,4428.3,3775.11,3593.49,1240.57,1221.03,8.95078,9.9213
1143,1123,4.37916,173.518,4506.4,4335.33,3654.66,3122,1230.19,1205.3,8.74285,9.01932
1145,NULL,1.07332,35.6871,5066.12,4940.41,3722.07,3892.7,1265.01,1254.29,10.5258,10.9896
1147,1159,0.089687,1.35575,5351.14,5348.1,3791.73,4033.19,1257.1,1255.24,11.0861,11.1064
115,NULL,1.27371,12.1667,3975.78,3928.67,3783.6,2970.61,1280.37,1256.1,9.36082,9.45842
1157,NULL,4.08996,203.067,2201.55,3995.42,3344.02,2867.88,1080.14,1163.51,6.39812,9.42166
1159,NULL,0.200249,44.7809,5186.75,5169.68,3732.9,4063.08,1254.62,1231.78,10.9923,10.8992
1166,NULL,0.296884,27.7975,3607.1,4566.25,3416.06,3375.92,1017.73,1068.49,7.76827,9.15532
1168,1177,0.0959134,21.212,4157.03,4234.9,3389.88,3011.58,1149.62,1228.33,9.28552,8.9763
1169,1185,0.0945049,45.4809,2421.92,4211.03,3881.41,3230.64,1209.01,1167.32,5.86776,8.94173
117,NULL,0.977364,63.1075,4717.08,4360.98,3762.19,3060.3,1277.59,1258.84,10.4779,9.97117
1172,NULL,2.09874,94.0804,4765.62,5198.56,3689.24,4148.54,1167.82,1212.32,9.74098,10.2454
1173,3337,1.13665,107.976,3386.78,3954.24,3490.2,2529.92,1175.5,1162.81,7.59677,8.36216
1174,1181,0.0628462,8.46669,2444.36,4454.38,3795.01,2405.85,1209.16,1181.63,4.26397,8.20083
1175,1173,0.0832316,0.469403,3677.6,3913.46,3568.44,3574.59,1195.86,1200.56,7.18931,7.36528
1178,1191,0.0253957,0.567919,4638.27,4624.08,3491.01,3347.65,1230.7,1234.88,7.91798,8.04003
1181,1250,1.19461,3.52539,3335.58,3708.05,3877.96,3499.7,1278.5,1266.44,6.84917,7.40161
1185,1250,0.486719,40.6013,4875.8,4976.16,3673.76,3900.16,1168.56,1194.09,10.0265,9.89661
119,NULL,0.762713,55.8732,3781.72,4495.9,3792.93,3369.42,1242.16,1250.61,9.0187,10.3511
1191,1245,40.0168,404.97,4546.96,4211,3666.7,2957.66,1185.87,1164.29,8.9739,9.00274
1192,1250,0.350687,11.2425,4851.27,4818.96,3568.85,3343.17,1223.83,1253.94,9.60862,10.0145
1194,NULL,0.117007,11.1552,4945.08,5220.08,3822.38,4226.12,1281.64,1264.09,10.9619,11.6458
1196,NULL,1.98479,79.6617,3294.38,4266.14,3634.22,2659.63,1169.56,1209.64,9.4382,10.2875
1198,1250,0.272536,11.0886,5086.96,4768.42,3555.41,3159.5,1201.58,1225.85,9.39248,9.25463
1202,1206,0.143883,9.57117,5493.67,5288.89,3760.99,4182.42,1241.58,1239.08,10.3066,10.5027
1206,3332,0.214926,5.55217,5288.57,5293.05,3807.24,4096.16,1267.52,1249.28,11.0206,10.7446
1209,NULL,0.839694,51.4279,5433.38,5366.72,3758.54,4180.05,1283.57,1261.01,11.2796,11.2517
122,NULL,0.728168,26.959,4027.65,4135.13,3430.18,2879.92,1201.19,1166.29,8.91062,8.66992
1239,1250,1.07139,53.2163,4779.6,4428.71,3292.43,3341.58,1041.03,1068.22,9.77251,8.88842
1244,NULL,0.870677,16.465,4253.66,4781.63,3632.86,3326.05,1227.57,1212.3,11.7093,10.8421
1245,1191,5.59334,155.489,3591.68,3842.83,3494.11,2635.76,1155.89,1126.1,8.33968,8.70757
1249,NULL,4.12079,76.6106,4758.72,5030.84,3744.56,3966.88,1248.98,1261.11,8.87882,10.633
1250,NULL,48.4406,930.651,4074.07,4254.53,3105.57,3210.43,1030.85,1066.91,6.94999,8.46645
126,NULL,0.620504,90.5603,4683.9,3838.06,3734.98,2542.29,1252.45,1177.48,10.1243,8.61181
1262,1285,13.3675,98.2908,3797.75,4736.11,3655.18,3572.04,1171.64,1138.04,8.87791,9.17231
1267,NULL,0.516902,41.8478,3846.54,4095.96,3652.05,2625.55,1233.99,1232.62,10.1174,9.85774
1282,NULL,3.65031,97.3365,3677.82,4140.44,3592.5,3205.54,1143.42,1105.24,9.30908,9.32974
1285,3377,3.16031,44.7432,4730.94,5063.42,3753.08,3963.05,1189.34,1200.17,10.0742,10.1238
1291,NULL,0.412857,22.9409,4354.82,4652.8,3683.69,3243.78,1241.86,1237.99,10.8655,10.6439
1293,NULL,0.126651,50.9788,3722.52,4602.33,3616.75,2894.24,1183.93,1199.49,8.70948,9.8851
1301,3336,0.0574732,4.35461,4260.27,3581.16,3699.96,2670.49,1228.4,1210.29,8.5848,8.44515
1308,NULL,1.00179,4.07718,5069.14,4888.41,3755.1,3330.23,1269.32,1261.57,11.3902,11.6213
1309,NULL,0.258027,1.57951,4665.23,4471.32,3626.23,3565.99,1232.67,1227.05,10.4086,10.459
1312,NULL,5.40694,27.1298,4450.91,4630.49,3688.15,3721.87,1190.19,1166.78,10.202,10.3668
1316,1309,0.149139,5.52572,3863.56,3741.74,3624.9,2797.21,1203.47,1207.89,9.82867,9.17167
1347,1353,0.126849,0.973884,1609.11,2679.72,3830.14,4004.29,1198.8,1150.84,6.84411,7.37031
1353,1250,8.96466,121.179,3112.52,3507.26,3650.84,2412.23,1147.88,1123.62,8.44293,8.34711
1357,1441,1.77439,11.2372,3565.24,4179.52,3734.79,3741.57,1226.03,1195.71,8.67695,9.82182
1370,NULL,4.91066,68.9268,3447.48,4850.1,3809.62,3344.6,1273.33,1277.11,10.4661,11.1119
1371,NULL,0.906016,10.7842,4430.33,4653.72,3750.14,3546.94,1268.9,1273.85,11.2827,10.732
138,229,2.72368,56.7715,5138.71,5219.88,3873.24,3925.94,1324.28,1301.04,11.3079,11.0833
1384,1250,0.138775,1.17806,5436.87,5246.66,3814.31,3704.38,1215.62,1217.27,10.4649,10.3583
1386,1401,0.36796,5.13842,5049.14,5039.27,3737.21,3902.83,1265.56,1222.11,10.4902,10.2798
139,138,0.747179,51.6,5306.94,5358.17,3866.2,4117.32,1302.87,1300.68,10.8058,11.1495
1390,1371,0.334386,5.2815,3763.39,4629.4,3729.9,2980.74,1238.46,1256.15,11.2078,10.7451
1396,3093,14.7166,61.3881,4942.63,5039.48,3798.05,3785.22,1288.71,1247.03,10.2191,10.1118
1401,1384,0.379025,2.06912,5231.77,5187.1,3766.92,3847.47,1257.21,1238.5,10.573,10.567
1402,NULL,0.823097,11.2773,5335.73,5367.58,3863.17,4095.45,1271.25,1280.62,11.1151,10.9038
1408,1353,0.711162,12.7049,5335.26,5158.31,3732.16,3664.7,1265.15,1222.88,10.1225,9.99999
1412,1390,0.21119,17.6151,3777.98,4468.2,3644.41,2716.42,1203.23,1206.25,9.67606,10.4547
1414,1471,0.364813,1.75289,4703.02,4831.84,3868.08,3542.72,1296.85,1277.8,8.57338,8.88408
1415,3391,0.00927963,0.317934,5248.44,5351.25,4070.63,3808.42,1227.63,1260.96,9.38168,9.97515
1418,1422,0.420733,61.393,4983.53,5097.98,3662.12,3889.68,1247.81,1215.81,9.80886,9.87162
1422,1408,11.037,41.7127,4910.88,4834.1,3691.63,3385.31,1246.15,1191.29,9.98381,9.92298
1425,1434,0.0159312,1.11816,5568.66,5512.23,3975.61,3651.67,1296.85,1297.41,10.0641,10.5891
1428,NULL,0.0851133,17.6665,4771.53,3893.53,3682.4,2770.95,1239.75,1198.09,9.12558,9.14989
1429,1418,0.0143086,0.0825847,5138.02,5089.55,4021.02,4085.05,1315.63,1314.59,10.1671,10.4173
1431,3098,0.164804,3.26285,4425.87,4665.08,3693.86,3685.84,1215.22,1199.19,10.8054,10.3423
1434,1511,0.166918,1.99213,5305.03,5263.18,3770.25,3833.76,1285.93,1288.66,10.8554,10.7146
1435,1408,0.0601158,2.03108,5408.08,5232.41,3550.89,3787.07,1257.05,1193.6,10.5015,10.1578
1437,1522,0.233076,32.7309,5727.71,5342.11,3758.01,4111.96,1210.01,1229.43,10.8958,10.5485
1441,NULL,26.9953,228.623,4514.97,5106.1,3730.36,3920.04,1240.45,1226.46,10.3222,10.8331
1444,1396,0.193263,2.90701,4962.09,5057.71,3808.37,3679.83,1311.18,1297.34,9.01297,10.0166
1447,1428,0.115182,7.01918,4721.66,4079.75,3703.57,3352.32,1229.9,1242.4,9.56796,9.24128
1458,1422,0.179317,1.26408,4902.12,4855.91,3638.7,3520.7,1249.79,1228.81,9.55406,9.44999
1459,1418,0.066178,0.691296,3549.34,4457.09,3821.91,3974.44,1246.56,1225.74,9.39359,9.71804
1463,1353,0.758356,119.663,2911.08,4681.8,3614.06,3832.32,1092.51,1120.66,8.82689,9.65013
1469,1522,0.490292,20.9195,5145.71,5417.34,3747.11,4160.35,1214.92,1199.72,9.07423,10.1297
1471,1431,4.92055,54.9075,3164.23,4145.57,3693.58,2949.18,1198.67,1174.5,8.35985,8.97738
1474,1499,0.175861,2.18754,5611.38,5411.58,3800.02,3891.97,1161.83,1133.79,10.5643,10.4588
1477,1418,0.443471,3.85365,4672.28,4857.47,3713.56,3977.01,1207.4,1182.76,9.70787,9.58406
